parcel_id,apn,county_fips,lot_sqft,zoning_code,zoning_allows_surface_parking,is_corner_lot,distance_to_nearest_demand_m,score_identification,score_entitlement,score_strategic,centroid_lon,centroid_lat
4dd468db-0c6d-4bb0-bc37-1f4f5ee01819,033-9567800190,53033,7194.461229679846,,false,false,20092.35466537871,25.0,,,-122.20268648879272,47.764505184229236
492167d2-017b-4321-9bed-0df096fc185f,033-9567800210,53033,10791.65525837193,,false,false,20122.443061763566,25.0,,,-122.20185549754152,47.76450541771771
ab0b2e22-867c-4ab5-af58-6c70c264c982,033-9567800220,53033,21584.64661406206,,false,false,20013.36083628721,,,,-122.2037795420478,47.76409843928721
b1c019eb-cc1e-4d97-9ba0-83523938b3c5,033-9567800235,53033,7194.851992793895,,false,false,19997.351570750794,25.0,,,-122.20422275736239,47.76409734866629
5dfdd6e0-3866-4775-b30c-0f1f15b89b40,033-9567800240,53033,7194.919520936914,,false,false,19989.362660403232,,,,-122.20444436579231,47.764096802413306
9ccae65b-9905-4f81-806f-fa1655c54b94,033-9567800245,53033,8514.98625607295,,false,false,19980.65280412284,,,,-122.20468630503545,47.76409620496246
557405ea-acea-4ce3-9d96-628addaa5296,033-9567800250,53033,13069.57796684522,,false,false,19968.706504950485,25.0,,,-122.20501871651092,47.76409538390911
27a91c90-7d44-4dcf-81ac-3c3dc2ab03fe,033-9567800260,53033,14389.712481578154,,false,false,20009.21577505373,25.0,,,-122.20499506424308,47.76450118304188
9ad6397f-8c20-42d0-b426-53dcac475611,033-9567800270,53033,7194.822488425131,,false,false,20021.140343158448,,,,-122.20466264985146,47.7645020043224
9bac48e3-f585-4504-a862-611bac03f79e,033-9567800275,53033,7194.917392992108,,false,false,20029.103238997723,,,,-122.20444103988007,47.76450255122761
c838e367-a6f1-4e03-93db-ad3c4ce85e1f,033-9567800280,53033,28779.431265808416,,false,false,20049.056391351438,,,,-122.20388701545303,47.76450391558003
654a9655-c0fd-41b0-bcba-42d509338676,033-9567800300,53033,11287.202614290927,,false,false,19989.924252197026,,,,-122.20574022906501,47.76457443845454
ffe8e059-98d0-48b6-a877-2813d6288a5e,033-9567800301,53033,10582.746843896011,,false,false,19969.471799843363,,,,-122.20572543759765,47.76436017150797
6365912c-fbc9-40bd-8ded-c9f49a303835,033-9567800330,53033,12474.899956576295,,false,false,20162.16434215803,,,,-122.2020989089205,47.76500429675871
f0d423cc-43f0-49f6-8dc3-d19236f58fd2,033-9567800331,53033,7194.432288040763,,false,false,20173.126859397726,,,,-122.20179598586537,47.76500438126807
fbae32b9-78ac-4221-93bc-b0f01871b08a,033-9567800340,53033,9108.300237538282,,false,false,20150.15753808393,,,,-122.20243130753978,47.76500420307836
e6d7c825-cdec-40ea-8ecc-723186b5e990,033-9567800360,53033,6717.656524331515,,false,false,20163.677457851434,,,,-122.2031224181676,47.76539774985368
50a64bdd-22a9-4e64-a407-ce05e8ed660a,033-9567800365,53033,6690.421051804485,,false,false,20171.564859108887,25.0,,,-122.20290081783841,47.765397129378805
8e1df028-a524-400d-887d-2ade6a8275b2,033-9567800370,53033,6663.164640653469,,false,false,20179.462605728346,,,,-122.20267921745767,47.76539650675134
e3fabf6c-72f6-4a5d-8d36-523021866263,033-9567800375,53033,6635.937975885299,,false,false,20187.370958782587,,,,-122.20245761735123,47.765395884894836
4386b431-b7d4-48c9-8f7e-a42d97f460f6,033-9567800380,53033,6608.663834684753,,false,false,20195.289762012722,25.0,,,-122.20223601703576,47.765395262155
472cff17-4bc1-4b8a-a52d-fd5c85065b31,033-9567800390,53033,6581.429529474791,,false,false,20203.21907248815,25.0,,,-122.20201441691663,47.76539463939383
